Id	Description	Qty	Unit	Designators
1	Cable, 1 x 22 AWG	0.327	m	W6, W7, W8, W9
2	Cable, 2 x 22 AWG	0.134	m	W2, W3, W4, W5
3	Cable, 3 x 22 AWG	0.038	m	W1
4	Connector, 3-pin JST XH 2.5mm connector, female, 3 pins	5		X2, X3, X4, X5, X6
5	Connector, 8-pin JST SM 2.5mm connector SMR-08V-B, male, 8 pins	1		X1
