Id	Description	Qty	Unit	Designators
1	Cable, 2 x 22 AWG	0.144	m	W1, W2, W3, W4, W5
2	Connector, 2-pin JST XH 2.5mm connector, female, 2 pins	1		X1
3	Connector, 3-pin JST XH 2.5mm connector, female, 3 pins	5		X2, X3, X4, X5, X6
